,POA
2022-02-01 00:00:00+02:00,0.0
2022-02-01 00:30:00+02:00,0.0
2022-02-01 01:00:00+02:00,0.0
2022-02-01 01:30:00+02:00,0.0
2022-02-01 02:00:00+02:00,0.0
2022-02-01 02:30:00+02:00,0.0
2022-02-01 03:00:00+02:00,0.0
2022-02-01 03:30:00+02:00,0.0
2022-02-01 04:00:00+02:00,0.0
2022-02-01 04:30:00+02:00,0.0
2022-02-01 05:00:00+02:00,0.0
2022-02-01 05:30:00+02:00,0.0
2022-02-01 06:00:00+02:00,0.0
2022-02-01 06:30:00+02:00,0.0
2022-02-01 07:00:00+02:00,0.0
2022-02-01 07:30:00+02:00,619.4676338949815
2022-02-01 08:00:00+02:00,2964.622942361373
2022-02-01 08:30:00+02:00,5465.266932817914
2022-02-01 09:00:00+02:00,7716.7626217019415
2022-02-01 09:30:00+02:00,9659.245537515968
2022-02-01 10:00:00+02:00,11268.87324952587
2022-02-01 10:30:00+02:00,12526.891417070776
2022-02-01 11:00:00+02:00,13417.611969381007
2022-02-01 11:30:00+02:00,13929.305364453137
2022-02-01 12:00:00+02:00,14055.023638286111
2022-02-01 12:30:00+02:00,13793.059075591771
2022-02-01 13:00:00+02:00,13147.057035245576
2022-02-01 13:30:00+02:00,12125.797423380576
2022-02-01 14:00:00+02:00,10742.62447567456
2022-02-01 14:30:00+02:00,9014.554456809854
2022-02-01 15:00:00+02:00,6961.780480301886
2022-02-01 15:30:00+02:00,4613.881635788419
2022-02-01 16:00:00+02:00,2079.267643113878
2022-02-01 16:30:00+02:00,159.52105833675347
2022-02-01 17:00:00+02:00,0.0
2022-02-01 17:30:00+02:00,0.0
2022-02-01 18:00:00+02:00,0.0
2022-02-01 18:30:00+02:00,0.0
2022-02-01 19:00:00+02:00,0.0
2022-02-01 19:30:00+02:00,0.0
2022-02-01 20:00:00+02:00,0.0
2022-02-01 20:30:00+02:00,0.0
2022-02-01 21:00:00+02:00,0.0
2022-02-01 21:30:00+02:00,0.0
2022-02-01 22:00:00+02:00,0.0
2022-02-01 22:30:00+02:00,0.0
2022-02-01 23:00:00+02:00,0.0
2022-02-01 23:30:00+02:00,0.0
2022-02-02 00:00:00+02:00,0.0
2022-02-02 00:30:00+02:00,0.0
2022-02-02 01:00:00+02:00,0.0
2022-02-02 01:30:00+02:00,0.0
2022-02-02 02:00:00+02:00,0.0
2022-02-02 02:30:00+02:00,0.0
2022-02-02 03:00:00+02:00,0.0
2022-02-02 03:30:00+02:00,0.0
2022-02-02 04:00:00+02:00,0.0
2022-02-02 04:30:00+02:00,0.0
2022-02-02 05:00:00+02:00,0.0
2022-02-02 05:30:00+02:00,0.0
2022-02-02 06:00:00+02:00,0.0
2022-02-02 06:30:00+02:00,0.0
2022-02-02 07:00:00+02:00,0.0
2022-02-02 07:30:00+02:00,684.0187208695571
2022-02-02 08:00:00+02:00,3048.157482049679
2022-02-02 08:30:00+02:00,5542.1783193364045
2022-02-02 09:00:00+02:00,7789.408982425826
2022-02-02 09:30:00+02:00,9730.338857317085
2022-02-02 10:00:00+02:00,11340.018035025865
2022-02-02 10:30:00+02:00,12598.96489871391
2022-02-02 11:00:00+02:00,13491.06764538711
2022-02-02 11:30:00+02:00,14004.352916276235
2022-02-02 12:00:00+02:00,14131.741666784603
2022-02-02 12:30:00+02:00,13871.478359571054
2022-02-02 13:00:00+02:00,13227.238380064984
2022-02-02 13:30:00+02:00,12207.925134245535
2022-02-02 14:00:00+02:00,10827.143016731845
2022-02-02 14:30:00+02:00,9102.39133476935
2022-02-02 15:00:00+02:00,7054.692112449433
2022-02-02 15:30:00+02:00,4714.536542264845
2022-02-02 16:00:00+02:00,2185.063487523424
2022-02-02 16:30:00+02:00,200.9570338026037
2022-02-02 17:00:00+02:00,0.0
2022-02-02 17:30:00+02:00,0.0
2022-02-02 18:00:00+02:00,0.0
2022-02-02 18:30:00+02:00,0.0
2022-02-02 19:00:00+02:00,0.0
2022-02-02 19:30:00+02:00,0.0
2022-02-02 20:00:00+02:00,0.0
2022-02-02 20:30:00+02:00,0.0
2022-02-02 21:00:00+02:00,0.0
2022-02-02 21:30:00+02:00,0.0
2022-02-02 22:00:00+02:00,0.0
2022-02-02 22:30:00+02:00,0.0
2022-02-02 23:00:00+02:00,0.0
2022-02-02 23:30:00+02:00,0.0
2022-02-03 00:00:00+02:00,0.0
2022-02-03 00:30:00+02:00,0.0
2022-02-03 01:00:00+02:00,0.0
2022-02-03 01:30:00+02:00,0.0
2022-02-03 02:00:00+02:00,0.0
2022-02-03 02:30:00+02:00,0.0
2022-02-03 03:00:00+02:00,0.0
2022-02-03 03:30:00+02:00,0.0
2022-02-03 04:00:00+02:00,0.0
2022-02-03 04:30:00+02:00,0.0
2022-02-03 05:00:00+02:00,0.0
2022-02-03 05:30:00+02:00,0.0
2022-02-03 06:00:00+02:00,0.0
2022-02-03 06:30:00+02:00,0.0
2022-02-03 07:00:00+02:00,0.0
2022-02-03 07:30:00+02:00,752.8161639589988
2022-02-03 08:00:00+02:00,3134.165327292906
2022-02-03 08:30:00+02:00,5621.583035651685
2022-02-03 09:00:00+02:00,7864.512725464055
2022-02-03 09:30:00+02:00,9803.767138598716
2022-02-03 10:00:00+02:00,11413.335551370892
2022-02-03 10:30:00+02:00,12673.032216392357
2022-02-03 11:00:00+02:00,13566.33247608576
2022-02-03 11:30:00+02:00,14081.024973231864
2022-02-03 12:00:00+02:00,14209.903180417274
2022-02-03 12:30:00+02:00,13951.166027141897
2022-02-03 13:00:00+02:00,13308.519852247242
2022-02-03 13:30:00+02:00,12290.990227933271
2022-02-03 14:00:00+02:00,10912.435837689785
2022-02-03 14:30:00+02:00,9190.823635685787
2022-02-03 15:00:00+02:00,7147.971652489775
2022-02-03 15:30:00+02:00,4815.259740813772
2022-02-03 16:00:00+02:00,2291.2332569001196
2022-02-03 16:30:00+02:00,248.41016165904085
2022-02-03 17:00:00+02:00,0.0
2022-02-03 17:30:00+02:00,0.0
2022-02-03 18:00:00+02:00,0.0
2022-02-03 18:30:00+02:00,0.0
2022-02-03 19:00:00+02:00,0.0
2022-02-03 19:30:00+02:00,0.0
2022-02-03 20:00:00+02:00,0.0
2022-02-03 20:30:00+02:00,0.0
2022-02-03 21:00:00+02:00,0.0
2022-02-03 21:30:00+02:00,0.0
2022-02-03 22:00:00+02:00,0.0
2022-02-03 22:30:00+02:00,0.0
2022-02-03 23:00:00+02:00,0.0
2022-02-03 23:30:00+02:00,0.0
2022-02-04 00:00:00+02:00,0.0
2022-02-04 00:30:00+02:00,0.0
2022-02-04 01:00:00+02:00,0.0
2022-02-04 01:30:00+02:00,0.0
2022-02-04 02:00:00+02:00,0.0
2022-02-04 02:30:00+02:00,0.0
2022-02-04 03:00:00+02:00,0.0
2022-02-04 03:30:00+02:00,0.0
2022-02-04 04:00:00+02:00,0.0
2022-02-04 04:30:00+02:00,0.0
